區處別,淨水場名稱,X座標(TWD97),Y座標(TWD97),主要供水轄區,原水來源
3,東興淨水場,241886.2710 ,2729158.3460 ,"竹南鎮全鎮，崎頂工業區、竹南科學園區。
頭份鎮全鎮，頭份工業區。
造橋鄉:造橋村、平興村、朝陽村、談文村、龍昇村、豐湖村、坪埔村。
後龍鎮:埔頂里、新民里、校椅里、海寶里、彎寶里、東明里、大山里、海埔里、外埔里、秀水里、水尾里、溪洲里。",永和山水庫
3,寶山淨水廠,253588.2060 ,2738546.5500 ,"新竹市東區金山里、關東里、關興里、龍山里、新莊里、埔頂里、科園里(含新竹科學園區)、寶山鄉大崎村、山湖村、油田村、深井村、新城村、雙溪村、寶山村、寶斗村。
竹東鎮：員山里、頭重里、二重里、三重里、柯湖里。",寶一、寶二水庫
4,谷關淨水場,250678.1700 ,2677334.1800 ,台中市和平區:谷關,八仙山山泉水
4,坪頂淨水場,217356.1000 ,2620408.3000 ,南投縣竹山鎮,水流東溪
4,人倫淨水場,239375,2630658,南投縣信義鄉人和村,卓棍溪
4,東光淨水場,248028.1880 ,2640583.2500 ,南投縣魚池鄉,木屐蘭溪
4,武登淨水場,240139.2570 ,2637284.9840 ,南投縣魚池鄉,日月潭
4,德化淨水場,243033.0070 ,2638778.3560 ,南投縣魚池鄉,日月潭
4,羅娜淨水場,236251,2613451,南投縣信義鄉羅娜村、新鄉村,筆石溪
4,霧社淨水場,264477.0110 ,2657571.0270 ,南投縣仁愛鄉,山澗水
4,春陽淨水場,266821.8780 ,2657973.4000 ,南投縣仁愛鄉,濁水溪
4,民和淨水場,242869,2632254,南投縣水里鄉民和村與信義鄉地利村,民和深井
4,信義淨水場,235809,2620693,南投縣信義鄉明德村、愛國村、自強村與水里鄉上安村、郡坑村,三十甲井、九層坑溪
4,永興淨水場,214848.1245 ,2643237.0000 ,橫山、永興里,永興場深井
4,粗坑淨水場,231431.4820 ,2642168.9099 ,中寮粗坑村,平林溪
4,崁腳淨水場,216008.2268 ,2636609.4118 ,名間鄉,崁腳場深井
4,公林淨水場,245906.0550 ,2639507.0940 ,南投縣魚池鄉,公林溪
4,炭寮淨水場,216964.4366 ,2635955.3880 ,名間鄉,炭寮場深井
4,瑞竹淨水場,215645.4000 ,2617416.8000 ,南投縣竹山鎮,瑞竹寬口井及深井
4,霧峰淨水場,219562.7900 ,2662564.1800 ,台中市霧峰區,霧峰1、2號井
4,三興淨水場,217274.6660 ,2644615.0000 ,南投市區,三興場深井
4,梨山淨水場,276632.1900 ,2683665.8700 ,台中市和平區:梨山,合歡溪
4,第三淨水場,216951.0000 ,2652634.0000 ,南投縣草屯鎮（中正里、和平里、中山里、敦和里、碧洲里、碧峰里、復興里、北投里）,第三淨水場1?3號等3口井
4,忠義淨水場,185970.6560 ,2670672.4730 ,臺中市大雅區,忠義1號深井
4,籃城淨水場,246504.5880 ,2653811.8830 ,南投縣埔里鎮,籃城1號及2號井
4,日月潭淨水場,242002.0870 ,2640093.4290 ,南投縣魚池鄉,日月潭
4,上楓淨水場,189019.0000 ,2670659.0630 ,臺中市大雅區,上楓3號深井
4,新民淨水場,217654.8936 ,2635617.7096 ,名間鄉,新民場2口深井及1口寬口井
4,第二淨水場,217380.0000 ,2653580.0000 ,南投縣草屯鎮（玉峰里、明正里、炎峰里、中正里、和平里、中山里、敦和里、御史里、新豐里、新?里、加老里、石川里、北投里）彰化縣芬園鄉  （茄老村、嘉興村）,第二淨水場1、2、3、4、5、6號等6口井
4,廈新淨水場,217418.4084 ,2639368.4855 ,名間鄉,廈新場深井
4,第一淨水場,218776.0000 ,2652968.0000 ,南投縣草屯鎮（玉峰里、明正里、炎峰里、中正里、御史里）,第一淨水場寬口井
4,第五淨水場,248954.1340 ,2652439.0670 ,南投縣埔里鎮,1~5號等5口深井
4,東勢淨水場,232319.0800 ,2683509.8600 ,台中市東勢區、石岡區,"東勢淨水場1,2號井"
4,坑口淨水場,218771.0000 ,2660172.1200 ,台中市霧峰區,"坑口1,3,5,6,7號等五口井"
4,大肚淨水場,203485.0000 ,2672107.0000 ,臺中市大肚區,大肚1、2、4、5號井及台紙1、2號等六口井
4,鹿谷淨水場,226445.0000 ,2624933.9000 ,南投縣鹿谷鄉,北勢溪
4,卓蘭淨水場,232777.7600 ,2688801.7600 ,苗栗縣卓蘭鎮、台中市東勢區:明正里,"卓蘭1,2,3,4.5
內灣1.2號井"
4,公館淨水場,185970.6560 ,2670672.4730 ,臺中市大雅.沙鹿區,公館1、2號深井忠義2號深井 仁愛1號深井
4,新社淨水場,230428.6700 ,2679236.0300 ,台中市新社區、石岡區,馬力埔淺井、苗圃深井、新二村深井
4,神岡淨水場,188008.2510 ,2671770.9950 ,臺中市神岡區,神岡2、5號深井
4,嘉和第二淨水場,2643218.2784 ,2643764.0000 ,南投市區,嘉和5.6.7號深井
4,新街淨水場,218912.0775 ,2641439.5305 ,名間鄉,新街場仁和等5深井
4,水里淨水場,235307,2634595,南投縣水里鄉、信義,"水里溪支流
（鉅工發電廠發電後尾水）"
4,沙鹿淨水場,203399.0000 ,2671748.0000 ,臺中市沙鹿區、龍井區、梧棲區,沙鹿2號等10口井
4,林子頭淨水場,216711.0000 ,2651780.0000 ,南投縣草屯鎮(草屯重劃區、民權路、富林路),林子頭1、2、3號深井
4,清水淨水場,206477.5000 ,2684949.0000 ,清水.梧棲區,清水1號等12口深井
4,營盤口淨水場,217721.0000 ,2648478.0000 ,南投縣南投市(軍功里、東山里、內新里、內興里、營南里、營北里、光明里、光榮里、光華里、光輝里)南投縣中寮鄉（永和村、永芳村、龍岩村、爽文村、龍安村、內城村、清水村）,營盤口4?15號等9口井
4,慶東淨水場,233611.4100 ,2677485.0200 ,台中市東勢區、石岡區,"慶東2,3,4,5,6號井、大甲溪"
4,嘉和淨水場,218298.4330 ,2643429.0000 ,南投市區,嘉和1.2.3號深井及一口寬口井
4,南崗淨水場,216126.0659 ,2646906.0000 ,南崗工業區、南投(芬園)高地區,南崗場16口深井
4,豐原第一淨水場,225680.0000 ,2685612.0000 ,台中市豐原、神岡、大雅、潭子、太平、大里、霧峰、烏日、大肚等市、鄉、鎮及台中港特定區,"大甲溪
（石岡壩）"
4,豐原第二淨水場,226127.0000 ,2685698.0000 ,台中市豐原、神岡、大雅、潭子、太平、大里、霧峰、烏日、大肚等市、鄉、鎮及台中港特定區,"大甲溪
（石岡壩）"
5,石桌淨水場,219379.0000 ,2596788.0000 ,嘉義縣竹崎鄉中和村,湖底溪
5,達邦淨水場,224685.0000 ,2594026.0000 ,嘉義縣阿里山鄉達邦村,曾文溪
5,阿里山淨水場,230846.0000 ,2601076.0000 ,嘉義縣阿里山鄉阿里山森林遊樂區,楠仔仙溪
5,大埔淨水場,208888.0000 ,2577584.0000 ,嘉義縣大埔鄉,寬口井及龍蛟溪
5,樂野淨水場,220832.0000 ,2597569.0000 ,嘉義縣阿里山鄉樂野村/竹崎鄉中和村/番路鄉公興村公田村,無名溪
5,半天寮淨水場,205930.0000 ,2607166.0000 ,雲林縣、梅山鄉,三疊溪上游支流
5,石弄淨水場,204959.0000 ,2589332.0000 ,嘉義縣中埔鄉,蕉仔湖溪
5,崙背淨水場,183219.0000 ,2628635.0000 ,崙背鄉部分,崙背等2口井
5,麥寮第二淨水場,172282.0000 ,2628074.0000 ,雲林縣麥寮鄉,麥寮等3口井
5,永光淨水場,204859.0000 ,2613110.0000 ,雲林縣古坑鄉、梅山鄉,永光等4口井
5,四湖淨水場,171010.0000 ,2614514.0000 ,雲林縣四湖鄉,四湖等5口井
5,大林第一淨水場,195079.0000 ,2611436.0000 ,嘉義縣大林鎮、溪口鄉,大林第一等5口
5,莿桐淨水場,201383.0000 ,2630386.0000 ,莿桐鄉,莿桐等4口井
5,拔拉腳第二淨水場,167868.0000 ,2608906.0000 ,口湖鄉除下崙村、崙中村、崙東村外全部,拔拉腳等4口井
5,竹崎淨水場,208577.0000 ,2601544.0000 ,嘉義縣竹崎鄉/番路鄉,朴子溪及阿拔泉溪
5,番社淨水場,184692.0000 ,2631304.0000 ,二崙部分、崙背部分,番社等4口井
5,新興淨水場,170551.0000 ,2625595.0000 ,雲林縣台西鄉,新興等3口井
5,三條崙淨水場,164227.0000 ,2616768.0000 ,雲林縣四湖鄉、台西鄉,三條崙等6口井
5,北港第二淨水場,178587.0000 ,2608547.0000 ,北港鎮全部,北港等8口井
5,崁腳淨水場,202834.0000 ,2611949.0000 ,雲林縣古坑鄉、梅山鄉,崁腳等6口井及南昌等3口井
5,古坑淨水場,205187.0000 ,2616365.0000 ,雲林縣古坑鄉、梅山鄉,古坑等7口井
5,褒忠淨水場,179827.0000 ,2621139.0000 ,"雲林縣褒忠鄉、東勢鄉、台西鄉(五榔、富琦、和豐等三村)、元長鄉(山內、後湖等二村)
",褒忠等10口井
5,水林淨水場,173314.0000 ,2607766.0000 ,水林鄉全部,水林等7口井
5,麥寮第一淨水場,173414.0000 ,2627592.0000 ,雲林縣麥寮鄉,麥寮等8口井
5,石榴淨水場,208496.0000 ,2623554.0000 ,雲林縣斗六市,石榴等7口井
5,新港淨水場,186410.0000 ,2606047.0000 ,嘉義縣新港鄉、溪口鄉,新港等5口井及烏山頭水庫
5,大北勢淨水場,200175.0000 ,2624603.0000 ,雲林縣斗六市,大北勢4口井
5,阿丹淨水場,201305.0000 ,2615414.0000 ,雲林線斗南鎮、大埤鄉,阿丹等16口井
5,觸口淨水場,213310.0000 ,2630300.0000 ,林內,觸口等6口井與編號32同
5,西螺淨水場,195593.0000 ,2632842.0000 ,西螺鎮、二崙部分,西螺等9口井
5,觸口淨水場,213310.0000 ,2630300.0000 ,林內,觸口等6口井
5,埤仔頭淨水場,206489.0000 ,2622198.0000 ,雲林縣斗六市,埤仔頭等21口井
5,蘭潭淨水場,196427.0000 ,2596529.0000 ,嘉義市東區、中埔、水上,蘭潭水庫
5,水上淨水場,187337.0000 ,2591187.0000 ,嘉義縣市、台南縣,烏山頭水庫及蘭潭水庫
5,林內淨水場,208806.0000 ,2627662.0000 ,雲林縣,集集攔河堰
5,公園淨水場,196580.0000 ,2597986.0000 ,嘉義市東區、民雄、大林,仁義潭水庫
6,鏡面淨水場,197442.3300 ,2550853.7700 ,台南市南化區、高雄市內門區(內興、三平、木柵、石坑、東勢埔等五里)等區。,鏡面水庫
6,白河淨水場,191305.4800 ,2583336.4600 ,台南市白河區。,白河水庫
6,楠玉淨水場,198709.2800 ,2569089.4500 ,台南市玉井區、楠西區等區。,劍文溪及曾文水庫、烏山頭水庫聯合運用
6,山上淨水場,185019.1700 ,2555499.3900 ,山上場未供水，僅處?後至潭頂場做二次處理。,曾文溪
6,潭頂淨水場,180021.1600 ,2552837.7900 ,台南市歸仁區、仁德區、關廟區、龍崎區、新市區、新化區、山上區、安定區、善化區、左鎮區、大內區等區。,曾文水庫、烏山頭水庫聯合運用
6,烏山頭淨水場,185148.0000 ,2567379.8000 ,台南市佳里區、學甲區、七股區、將軍區、北門區、西港區、柳營區、新營區、鹽水區、後壁區、東山區、下營區、麻豆區、六甲區、官田區等區。,曾文水庫、烏山頭水庫聯合運用
6,南化淨水場,199160.8800 ,2553717.7200 ,台南市東區、北區、南區、中西區、安平區、安南區、永康區等區。,南化水庫
7,佳興淨水場,223327.4562 ,1203915.9906 ,屏東縣：(泰武鄉)佳興,泰武溪
7,士文淨水場,22225.9900 ,1203949.5700 ,"屏東縣：
(南州鄉)(東港鎮)(佳冬鄉)(新園鄉)(崁頂鄉)(琉球鄉) 全鄉鎮
(春日鄉)(枋寮鄉)(林邊鄉)部分地區",士文溪
7,琉球淨水場,222028.9649 ,1202218.4918 ,屏東縣：琉球鄉,琉球2口井
7,馬公38號深井,106333.2480 ,2606890.2960 ,馬公市,馬公38號深井
7,馬公59號深井,81128.9020 ,2548999.8270 ,馬公市,馬公59號深井
7,馬公62號深井,106807.5510 ,2606931.8420 ,馬公市,馬公62號深井
7,馬公57號深井,105700.0880 ,2607385.8210 ,馬公市,馬公57號深井
7,馬公7號深井,105636.3620 ,2607540.3160 ,馬公市,馬公7號深井
