區處別,系統代號,淨水場名稱,淨水場資訊,氟鹽(Fluoride),硝酸鹽氮(Nitrate),總溶解固體量(Total Dissolved Solids),糞便性大腸桿菌群(Fecal coliform),砷(Arsenic),自由有效餘氯(Free Chlorine Residual),濁度(Turbidity),色度(Color),臭度(Odor),總鹼度(Total Alkalinity),pH值(pH ),氯鹽(Chloride),硫酸鹽(Sulfate),氨氮(Ammonia),亞硝酸鹽氮(Nitrite),總硬度(Total Hardness),鐵(Iron),錳(Manganese),總菌落數(Total Bacterial Count),大腸桿菌群(Coliform Group),總三鹵甲烷(Total Trihalomethanes),鉛(Lead),硒(Selenium),汞(Mercury),鋅(Zinc),銀(Silver),銅(Copper),鉻(Chromium),鎳(Nickel),鎘(Cadmium),鋇(Barium),銻(Antimony),陰離子界面活性劑(Anionic Surfactants),靈丹(Lindane),安殺番(Endosulfan),巴拉刈(Paraquat),大利松(Diazinon),巴拉松(Parathion),一品松(EPN),氰鹽(Cyanate),酚(Phenols),達馬松(Methamidophos),丁基拉草(Butachlor),2，4-地(2，4-D),納乃得(Methomyl),滅必蝨(MIPC(Isoprocarb)),加保扶(Carbofuran),亞素靈(Monocrotophos),鋁(Aluminium),溴酸鹽(Bromate),三氯乙烯(Trichloroethene),四氯化碳(Carbon tetracholoride),1，1，1-三氯乙烷 (1，1，1-Trichloroethane),1，2-二氯乙烷(1，2-Dichloroethane),氯乙烯(Vinyl chloride),苯(Benzene),對-二氯苯(1，4-Dichlorobenzene),1，1-二氯乙烯(1，1-Dichloroethene),二氯甲烷(Dichloromethane),鄰-二氯苯(1，2-Dichlorbenzene),甲苯(Toluene),二甲苯(Xylene),順-1，2-二氯乙烯(cis-1，2-Dichloroethene),反-1，2-二氯乙烯(trans-1，2-Dichloroethene),四氯乙烯(Tetrachloroethene),鹵乙酸類(Haloacetic acids),水質合格否(Y/N)
五區,0505,達邦淨水場,達邦淨水場(Dabang)嘉義縣阿里山鄉達邦村一鄰1號(達邦國小)後面[0560116]{0505}<嘉義縣市@Chiayi City>,0.09,0.72,270,－－,0.00008,0.54,0.1,<5,<1,161,8,2.26,49.3,0.02,ND,192,ND,ND,<1,<1,0.00263,0.0009,ND,ND,<0.01,ND,<0.01,<0.01,ND,ND,0.05,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0329,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00484,Y
五區,0544,阿里山淨水場,阿里山淨水場(Alishan)嘉義縣阿里山鄉中正村71號[0560067]{0544}<嘉義縣市@Chiayi City>,0.02,0.13,71.8,－－,0.00043,0.4,0.2,<5,<1,45.7,7.5,3.65,6.32,0.03,<0.01,40.7,ND,ND,<1,<1,0.00436,0.0014,ND,ND,0.06,<0.01,<0.01,<0.01,ND,ND,0.0065,ND,0.04,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0396,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00725,Y
五區,0545,樂野淨水場,樂野淨水場(Leye)嘉義縣阿里山鄉樂野村9鄰237之1號[0560094]{0545}<嘉義縣市@Chiayi City>,0.02,0.29,70.4,－－,0.00012,0.6,0.25,<5,<1,40.8,8,2.98,4.88,0.02,ND,36,ND,ND,<1,<1,0.0126,0.0014,ND,ND,0.26,<0.01,<0.01,<0.01,ND,<0.0001,0.0037,ND,0.03,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0474,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0161,Y
六區,0601,烏山頭淨水場,烏山頭淨水場(Wushantou)臺南市官田區嘉南里68號[0663014]{0601}<臺南縣市@Tainan City>,0.1,0.36,204,<1,0.00036,0.83,0.3,<5,<1,129,7.7,8.37,39.5,ND,ND,140,<0.01,<0.001,<1,<1,0.0151,0.0002,0.0001,ND,<0.01,<0.01,<0.01,ND,0.0004,ND,0.0139,0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0348,0.0006,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0119,Y
六區,0601,潭頂淨水場,潭頂淨水場(Tanting)臺南市新市區潭頂里544號[0661010]{0601}<臺南縣市@Tainan City>,0.11,0.38,210,<1,0.00052,0.7,0.35,<5,<1,127,7.8,11.8,38,0.01,ND,141,0.01,<0.001,<1,<1,0.0321,ND,0.0002,<0.0001,<0.01,<0.01,<0.01,ND,0.0004,ND,0.0195,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0401,0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0143,Y
六區,0601,南化淨水場,南化淨水場(Nanhua)臺南市南化區北寮里154號[0664011]{0601}<臺南縣市@Tainan City>,0.1,0.18,238,<1,0.00046,0.82,0.25,<5,<1,143,7.9,5.56,52.9,ND,ND,161,0.02,0.001,<1,<1,0.0133,0.0004,0.0002,ND,<0.01,<0.01,<0.01,<0.01,0.0002,ND,0.0251,0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.041,0.0003,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00595,Y
六區,0608,楠玉淨水場,楠玉淨水場(Nanyu)臺南市楠西區密枝里102-3號[0644015]{0608}<臺南縣市@Tainan City>,0.1,0.41,214,－－,0.0005,0.67,0.45,<5,<1,135,7.9,11.9,35.5,0.01,ND,147,0.03,0.003,<1,<1,0.0302,0.0003,0.0002,<0.0001,<0.01,<0.01,<0.01,<0.01,0.0004,ND,0.0208,0.0002,0.01,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0215,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0135,Y
七區,0701,澄清湖淨水場,澄清湖淨水場(Chengching Lake)高雄市鳥松區大埤路32號[0762018]{0701}<高雄市@Kaohsiung City>,0.1,0.44,324,<1,0.00087,0.56,0.2,<5,<1,103,7.5,8.99,126,ND,ND,145,ND,ND,<1,<1,0.0049,ND,0.0001,<0.0001,<0.01,<0.01,<0.01,ND,0.0003,ND,0.0111,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.101,0.003,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00252,Y
七區,0701,鳳山淨水場,鳳山淨水場(Fongshan)高雄市小港區坪頂里天池路1號[0767031]{0701}<高雄市@Kaohsiung City>,0.11,0.93,339,<1,0.00074,0.65,0.2,<5,<1,110,7.6,10.8,132,ND,ND,143,<0.01,ND,<1,<1,0.0125,0.0005,0.0001,ND,0.02,<0.01,<0.01,<0.01,0.0006,ND,0.0109,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.126,0.0019,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0122,Y
七區,0701,坪頂淨水場,坪頂淨水場(Pinding)高雄市大樹區小坪里小坪路128號[0764012A1]{0701}<高雄市@Kaohsiung City>,0.13,0.58,360,<1,0.00069,0.8,0.25,<5,<1,173,7.7,10.8,101,ND,ND,227,ND,ND,1,<1,0.0136,<0.0001,ND,0.0001,<0.01,<0.01,<0.01,<0.01,0.0002,ND,0.0257,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00006,ND,ND,ND,ND,ND,0.121,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0145,Y
七區,0701,拷潭淨水場,拷潭淨水場(Kaotan)高雄市大寮區仁德路12號[0766016]{0701}<高雄市@Kaohsiung City>,0.09,0.47,340,<1,0.00021,0.71,0.15,<5,<1,132,7.2,13.8,82.6,ND,ND,226,<0.01,ND,<1,<1,0.014,0.0003,<0.0001,<0.0001,<0.01,<0.01,<0.01,<0.01,<0.0001,ND,0.0197,0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0266,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00977,Y
七區,0708,甲仙淨水場,甲仙淨水場(Chiahsien)高雄市甲仙區和安里竹山巷19-1號[0741042]{0708}<高雄市@Kaohsiung City>,0.19,0.07,338,<1,0.00038,0.56,0.35,<5,<1,185,8,5.19,93.8,ND,ND,215,<0.01,ND,1,<1,0.0191,0.0002,ND,<0.0001,<0.01,<0.01,<0.01,<0.01,0.0002,ND,0.0387,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0625,0.0003,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0134,Y
七區,0709,六龜淨水場,六龜淨水場(Liouguei)高雄市六龜區文武里河邊巷77號[0747044]{0709}<高雄市@Kaohsiung City>,0.13,0.22,355,<1,0.00035,0.62,0.7,<5,<1,145,7.5,5.69,126,ND,ND,229,0.02,ND,<1,<1,0.0045,0.0002,0.0003,<0.0001,<0.01,<0.01,<0.01,<0.01,0.0002,ND,0.0269,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0758,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00454,Y
七區,0719,木梓淨水場,木梓淨水場(Muzih)高雄市杉林區木梓里茄苳巷170-1號[0741119]{0719}<高雄市@Kaohsiung City>,0.17,0.19,282,－－,0.00056,0.58,0.2,<5,<1,156,8,3.52,83.1,ND,ND,189,ND,ND,<1,<1,0.00705,0.0001,ND,ND,<0.01,<0.01,<0.01,<0.01,<0.0001,ND,0.0386,0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00789,Y
七區,0738,民生淨水場,民生淨水場(Minsheng)高雄市那瑪夏區秀嶺巷1-1號[0741100]{0738}<高雄市@Kaohsiung City>,0.06,0.45,102,－－,0.00043,0.51,0.2,<5,<1,83.7,8,2.09,16.5,ND,ND,72.8,0.01,ND,<1,<1,0.00345,0.0012,ND,ND,<0.01,<0.01,<0.01,<0.01,<0.0001,ND,0.0157,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00514,Y
七區,0751,多納淨水場,多納淨水場(Duona)高雄市茂林區多納段728地號[0746065]{0751}<高雄市@Kaohsiung City>,0.1,0.17,153,－－,0.0001,0.59,0.2,<5,<1,91.6,7.9,2.38,34.9,ND,ND,101,<0.01,ND,<1,<1,0.00102,0.0002,ND,ND,<0.01,<0.01,<0.01,<0.01,<0.0001,ND,0.0013,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00416,Y
七區,0706,美濃淨水場,美濃淨水場(Meinong)高雄市美濃區中正路二段169巷1號[0747053]{0706}<高雄市@Kaohsiung City>,0.18,2.07,359,－－,0.00024,0.58,0.4,<5,<1,230,7.3,7.34,58.6,ND,ND,255,0.02,ND,<1,<1,0.00121,0.0004,ND,ND,0.01,<0.01,0.01,<0.01,0.0001,ND,0.0232,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00164,Y
七區,0704,茂林淨水場,茂林淨水場(Maolin)高雄市茂林區茂林段795地號[0746056]{0704}<高雄市@Kaohsiung City>,0.23,0.1,347,－－,0.00047,0.56,0.15,<5,<1,145,7.7,2.63,122,ND,ND,243,ND,ND,<1,<1,0.00309,0.0001,ND,ND,<0.01,<0.01,<0.01,<0.01,0.0001,ND,0.0011,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00518,Y
七區,0710,新威淨水場,新威淨水場(Sinwei)高雄市六龜區六龜段998之8地號[0747062]{0710}<高雄市@Kaohsiung City>,0.15,0.1,329,－－,0.00021,0.51,0.45,<5,<1,150,7.9,5.92,113,ND,ND,219,0.02,ND,<1,<1,0.00468,0.0005,ND,ND,<0.01,<0.01,<0.01,<0.01,0.0002,ND,0.0158,0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.052,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0053,Y
七區,0703,手巾寮淨水場,手巾寮淨水場(Shoujinliao)高雄市美濃區福安里旗屏一路13-1號[0741024]{0703}<高雄市@Kaohsiung City>,0.16,1.09,433,－－,0.00088,0.52,0.15,<5,<1,199,7.5,5.92,127,ND,ND,288,<0.01,0.001,<1,<1,0.00038,0.0004,ND,0.0001,<0.01,<0.01,<0.01,<0.01,0.0001,ND,0.0321,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00401,Y
七區,0739,寶來淨水場,寶來淨水場(Baolai)高雄市六龜區寶來里寶來二巷29-1號[0747071]{0739}<高雄市@Kaohsiung City>,0.22,ND,441,－－,0.00079,0.61,0.2,<5,<1,215,7.7,17.2,128,ND,ND,267,0.02,0.002,<1,<1,0.00556,ND,<0.0001,<0.0001,<0.01,<0.01,<0.01,<0.01,0.0002,ND,0.0254,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0165,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0032,Y
七區,0750,牡丹淨水場,牡丹淨水場(Moodan)屏東縣牡丹鄉石門村石門路35之2號[0768029]{0750}<屏東縣@Pingtung County>,0.11,0.23,154,<1,0.00016,0.64,0.15,<5,<1,114,7.3,9.66,23.5,0.02,ND,109,<0.01,ND,<1,<1,0.0147,ND,<0.0001,ND,<0.01,ND,<0.01,<0.01,0.0002,ND,0.0037,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0666,0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0207,Y
七區,0713,屏東淨水場,屏東淨水場(Pingtong)屏東縣屏東市林森路6號[0742012]{0713}<屏東縣@Pingtung County>,0.1,1.36,276,<1,0.00087,0.6,0.3,<5,<1,164,8,4.43,57.3,ND,ND,191,0.02,0.005,<1,<1,0.00202,<0.0001,ND,<0.0001,<0.01,<0.01,<0.01,<0.01,<0.0001,ND,0.0074,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0153,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00695,Y
七區,0718,三和淨水場,三和淨水場(Sanhe)屏東縣內埔鄉隘寮段861-1地號[0742107]{0718}<屏東縣@Pingtung County>,0.08,1.92,385,－－,0.00024,0.51,0.25,<5,<1,181,7.8,3.68,118,ND,ND,274,<0.01,ND,<1,<1,0.00008,<0.0001,ND,ND,<0.01,<0.01,<0.01,<0.01,ND,ND,0.0031,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00379,Y
七區,0725,四春淨水場,四春淨水場(Sihchun)屏東縣潮州鎮四春段1036地號[0743055]{0725}<屏東縣@Pingtung County>,0.08,0.93,244,－－,0.00091,0.52,0.25,<5,<1,146,7.4,2.86,46.9,ND,ND,164,<0.01,ND,<1,<1,0.00083,0.0002,ND,0.0002,<0.01,<0.01,<0.01,<0.01,0.0001,ND,0.0015,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00223,Y
七區,0740,佳興淨水場,佳興淨水場(Jiasing)屏東縣泰武鄉佳興段811-1地號[0743082]{0740}<屏東縣@Pingtung County>,0.09,0.51,118,－－,0.00009,0.51,0.3,<5,<1,87.2,7.9,2.72,17.9,ND,ND,87.5,0.01,0.005,<1,<1,0.00069,ND,ND,<0.0001,<0.01,<0.01,<0.01,<0.01,<0.0001,ND,0.0022,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00488,Y
七區,0712,桑園淨水場,桑園淨水場(Sangyuan)屏東縣牡丹鄉牡丹村牡丹路250之1號[0768010]{0712}<屏東縣@Pingtung County>,0.1,0.18,121,－－,0.00019,0.59,0.75,<5,<1,86.9,7.6,15.4,6.18,ND,ND,72.4,0.09,ND,<1,<1,0.041,ND,<0.0001,ND,<0.01,<0.01,<0.01,<0.01,0.0002,ND,0.0043,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0008,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0199,Y
七區,0732,枋寮淨水場,枋寮淨水場(Fangliao)屏東縣枋寮鄉大響營一小段117地[0743159]{0732}<屏東縣@Pingtung County>,0.11,1.13,248,－－,0.00021,0.52,0.15,<5,<1,172,7.4,4.86,38.1,ND,ND,168,ND,ND,<1,<1,ND,0.0007,0.0007,0.0003,<0.01,<0.01,<0.01,<0.01,0.0002,ND,0.0021,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0253,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00219,Y
七區,0743,佳平淨水場,佳平淨水場(Jiaping)屏東縣泰武鄉佳平段133地號[0743177]{0743}<屏東縣@Pingtung County>,0.1,4.46,179,－－,0.00007,0.65,0.35,<5,<1,96.2,7,4.87,24.8,ND,ND,116,0.04,ND,<1,<1,0.00094,<0.0001,ND,<0.0001,<0.01,<0.01,<0.01,<0.01,0.0003,ND,0.0034,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00388,Y
七區,0724,力里淨水場,力里淨水場(Lili)屏東縣春日鄉力里段2016-1號[0743168]{0724}<屏東縣@Pingtung County>,0.1,0.3,237,－－,0.00028,0.57,0.15,<5,<1,165,7.5,2.72,45,ND,ND,189,0.01,0.002,<1,<1,0.00014,0.0003,0.0008,<0.0001,<0.01,<0.01,<0.01,<0.01,0.0003,ND,0.0035,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0004,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00119,Y
七區,0717,高士淨水場,高士淨水場(Gaoshih)屏東縣牡丹鄉高士村7號[0745068]{0717}<屏東縣@Pingtung County>,0.18,0.13,254,－－,0.0003,0.57,0.25,<5,<1,199,8,17.7,24,ND,ND,192,<0.01,ND,<1,<1,0.0324,ND,0.0002,<0.0001,<0.01,<0.01,<0.01,<0.01,0.0002,ND,0.0118,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0004,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0213,Y
七區,0715,高樹淨水場,高樹淨水場(Gaoshu)屏東縣高樹鄉華光路89號[0746010]{0715}<屏東縣@Pingtung County>,0.09,1.94,374,－－,0.00013,0.61,0.3,<5,<1,175,7.1,4.04,112,ND,ND,268,ND,ND,<1,<1,0.00008,0.0003,0.0007,<0.0001,0.01,<0.01,<0.01,<0.01,0.0001,ND,0.0101,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0197,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00212,Y
七區,0731,潮新淨水場,潮新淨水場(chaosin)屏東縣潮州鎮四春段1118-2地號[0743131]{0731}<屏東縣@Pingtung County>,0.09,0.51,204,－－,0.00025,0.55,0.15,<5,<1,132,8,2.2,45,ND,ND,153,ND,ND,<1,<1,0.00194,<0.0001,ND,ND,<0.01,<0.01,<0.01,<0.01,0.0002,ND,0.001,0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00026,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0042,Y
七區,0736,瑪家淨水場,瑪家淨水場(Majia)屏東縣瑪家鄉瑪家段1121地號[0742049]{0736}<屏東縣@Pingtung County>,0.07,0.44,142,－－,0.00004,0.42,0.4,<5,<1,83.2,7.6,1.91,34.4,ND,ND,103,0.01,ND,<1,<1,ND,<0.0001,ND,ND,<0.01,<0.01,<0.01,<0.01,0.0002,ND,0.0024,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y
七區,0714,餉潭淨水場,餉潭淨水場(siangtan)屏東縣新埤鄉新力段463地號[0743037]{0714}<屏東縣@Pingtung County>,0.15,1.09,164,－－,0.00012,0.56,0.2,<5,<1,125,7.4,3.38,20.1,ND,ND,122,ND,ND,<1,<1,0.00034,<0.0001,ND,0.0002,<0.01,<0.01,<0.01,<0.01,<0.0001,ND,0.0033,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00355,Y
七區,0707,廣興淨水場,廣興淨水場(Guangsing)屏東縣高樹鄉新大路關小段195-173地號[0746038]{0707}<屏東縣@Pingtung County>,0.07,3.96,120,－－,0.00023,0.57,0.3,<5,<1,44.7,6.4,9.76,2.47,ND,ND,24.8,ND,ND,<1,<1,0.00148,0.0004,ND,ND,0.07,<0.01,<0.01,<0.01,0.0003,<0.0001,0.0009,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00376,Y
七區,0747,霧台淨水場,霧台淨水場(Wutai)屏東縣霧台鄉霧台段840地號[0742058]{0747}<屏東縣@Pingtung County>,0.05,0.45,110,－－,0.00014,0.45,0.3,<5,<1,68.3,7.7,3.69,20.4,ND,ND,76.1,ND,ND,<1,<1,0.00599,<0.0001,ND,ND,<0.01,<0.01,<0.01,<0.01,ND,ND,0.0008,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00582,Y
七區,0729,馬公,馬公(Magong)澎湖縣馬公市烏崁里306號[0749115]{0729}<澎湖縣@Penghu County>,0.03,ND,344,<1,0.00008,0.74,0.25,<5,<1,34.7,8.3,182,19.4,ND,ND,27.3,0.01,ND,<1,<1,0.00068,0.0002,ND,0.0004,<0.01,ND,<0.01,<0.01,0.0006,ND,0.0005,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0206,0.001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00025,ND,ND,ND,ND,0.00403,Y
七區,0759,西嶼海淡廠,西嶼海淡廠(Siyu)澎湖縣西嶼鄉池西村27-3號[0749322]{0759}<澎湖縣@Penghu County>,0.02,ND,197,－－,ND,0.62,0.25,<5,<1,41.8,8.3,102,2.46,ND,ND,24.3,0.03,ND,<1,<1,0.00082,0.0002,ND,0.0007,<0.01,<0.01,<0.01,ND,0.0002,ND,0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00441,Y
七區,0756,望安海淡廠,望安海淡廠(Wang-an)澎湖縣望安鄉西安村37-1號[0749106]{0756}<澎湖縣@Penghu County>,0.02,0.04,243,－－,0.00005,0.72,0.25,<5,<1,32.9,8.3,103,29.4,ND,ND,37.3,0.02,ND,<1,<1,0.00107,0.0003,ND,0.0002,<0.01,<0.01,<0.01,<0.01,0.0002,ND,0.0003,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00005,ND,ND,ND,ND,ND,0.0294,0.0009,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00009,ND,ND,ND,0.00359,Y
八區,0801,深溝淨水場,深溝淨水場(Shengou)宜蘭縣員山鄉員山路2段236號[0862019]{0801}<宜蘭縣@Yilan County>,0.06,0.55,134,<1,0.00014,0.51,0.15,<5,<1,64.1,7.4,3.13,19,ND,ND,93.2,0.02,ND,<1,<1,0.00091,ND,ND,ND,<0.01,ND,ND,ND,0.0001,<0.0001,0.0014,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.052,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00434,Y
八區,0804,廣興淨水場,廣興淨水場(Kuanhsin)宜蘭縣冬山鄉廣興路90巷51號[0861012]{0804}<宜蘭縣@Yilan County>,0.06,0.77,175,<1,0.00015,0.52,0.15,<5,<1,98.4,7,3.36,28.2,ND,ND,114,0.03,ND,<1,<1,ND,ND,ND,ND,<0.01,ND,<0.01,<0.01,0.0002,<0.0001,0.0008,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0118,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y
八區,0804,蘇澳淨水場,蘇澳淨水場(Shuao)宜蘭縣蘇澳鎮光明路5號[0861085]{0804}<宜蘭縣@Yilan County>,0.05,0.38,148,<1,0.00035,0.46,0.15,<5,<1,94.3,6.8,7.39,15.6,ND,ND,106,0.02,0.002,<1,<1,0.00319,0.0001,ND,ND,<0.01,ND,<0.01,ND,0.0004,<0.0001,0.0044,ND,ND,ND,ND,ND,ND,ND,ND,0.001,ND,ND,ND,ND,ND,ND,ND,ND,0.0181,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00025,ND,Y
