fid,field_1,_id,lat,lng,stationName,TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE
"109","108",a59bb68e-2378-4ced-a28a-089a223c0502,25.128625,121.750953,信一路及義六路口,C07,"10017070",基隆市,信義區,Xinyi District,C,"10017"
"110","109",c0fe3f84-fb4b-4fa4-9ccf-ebf224df3710,23.4097928,120.3767513,108Q047水上靖和村,Q13,"10010120",嘉義縣,水上鄉,Shuishang Township,Q,"10010"
"111","110",9a4c2ef8-4192-449e-8f13-2c2efb4b9350,24.964962,121.22506,九和六街1號,H03,"68000020",桃園市,中壢區,Zhongli District,H,"68000"
"112","111",3a688c15-045f-4eab-8353-1cef55092c6a,24.956307,121.258745,榮民南路27巷口,H03,"68000020",桃園市,中壢區,Zhongli District,H,"68000"
"113","112",5e66d8ce-5c39-4d2a-b115-4d443468c9a3,24.980266,121.313166,樹林四街、大豐路口,H01,"68000010",桃園市,桃園區,Taoyuan District,H,"68000"
"114","113",57eb6da5-85e3-4ab6-a712-5c5b87508881,23.752964,120.416397,108P003二崙田尾村二崙賜福宮,P11,"10009110",雲林縣,二崙鄉,Erlun Township,P,"10009"
"115","114",8c84f27d-78ea-4bcd-8cc5-7e9a82392ae7,24.940298,121.243858,龍慈路龍和三街口,H03,"68000020",桃園市,中壢區,Zhongli District,H,"68000"
"116","115",c974defa-50b4-40a4-9b3e-530afbacac6a,24.992719,121.313704,民生路150號,H01,"68000010",桃園市,桃園區,Taoyuan District,H,"68000"
"117","116",580edb98-2fb6-4705-83a9-e03845041da2,24.93278,121.269472,長興路,H08,"68000080",桃園市,八德區,Bade District,H,"68000"
"118","117",fc450788-a2b1-4c68-83b4-e700e029bc17,23.5277771,120.2968988,108Q012六腳港美村六腳大排水溝,Q08,"10010080",嘉義縣,六腳鄉,Liujiao Township,Q,"10010"
"119","118",a434194e-6a45-4329-8ecd-ff4cb5c7e903,23.50381,120.22646,六腳鄉崩山村,Q08,"10010080",嘉義縣,六腳鄉,Liujiao Township,Q,"10010"
"120","119",0f1bb2c8-abdb-46a3-a59d-fa846fcd67b1,23.47391,120.4363,西區垂楊高架橋下路面淹水感測站,I02,"10020020",嘉義市,西區,W. District,I,"10020"
